"No.","Stream index","Time","Source","Destination","Protocol","Length","Info","Http Time","iRTT","Time since first frame in this TCP stream","The RTT to ACK the segment was","Time to live","Total Length IP Frame","Bytes in flight"
"12","2","5.234363","10.38.70.6","192.168.0.100","HTTP","416","GET / HTTP/1.1 ","","0.008701000","0.012251000","","63","402","350"
"33","4","5.430086","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.015948000","0.016173000","","63","420","368"
"78","14","7.930544","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.016892000","0.017124000","","63","420","368"
"106","16","8.245220","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.019910000","0.020143000","","63","420","368"
"134","18","8.634032","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.005294000","0.005530000","","63","420","368"
"162","20","9.154043","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.005942000","0.006182000","","63","420","368"
"191","22","9.725074","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.011652000","0.012259000","","63","420","368"
"220","24","10.315659","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.015725000","0.016259000","","63","420","368"
"249","26","10.949571","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.018623000","0.019018000","","63","420","368"
"285","29","11.615458","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.009815000","0.012134000","","63","420","368"
"312","31","12.307742","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.003897000","0.004352000","","63","420","368"
"342","33","13.179329","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.011435000","0.014501000","","63","420","368"
"370","35","14.233688","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.017390000","0.017664000","","63","420","368"
"399","37","15.353169","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.017681000","0.020245000","","63","420","368"
"427","39","16.377799","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.016763000","0.017000000","","63","420","368"
"455","41","17.460409","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.022727000","0.022971000","","63","420","368"
"486","46","18.569863","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.005432000","0.005665000","","63","420","368"
"515","48","19.749644","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.011803000","0.012039000","","63","420","368"
"550","52","20.969908","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.008544000","0.008785000","","63","420","368"
"582","54","22.252255","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.015405000","0.015646000","","63","420","368"
"613","56","23.573937","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.014669000","0.014907000","","63","420","368"
"644","59","25.165719","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.033684000","0.033931000","","63","420","368"
"681","63","26.772456","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.012995000","0.013228000","","63","420","368"
"718","65","28.473789","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.017667000","0.021002000","","63","420","368"
"746","67","30.230973","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.015095000","0.015345000","","63","420","368"
"778","69","32.050091","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.011103000","0.011435000","","63","420","368"
"813","72","33.953455","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.012714000","0.012940000","","63","420","368"
"843","74","35.911563","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.019055000","0.019482000","","63","420","368"
"873","76","37.931365","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.017185000","0.017470000","","63","420","368"
"903","78","39.993672","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.007506000","0.007668000","","63","420","368"
"936","80","42.144669","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.010233000","0.010466000","","63","420","368"
"969","82","44.364057","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.018932000","0.023162000","","63","420","368"
"1025","85","46.620220","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.007969000","0.008199000","","63","420","368"
"1053","87","48.968251","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.016295000","0.016530000","","63","420","368"
"1086","89","52.433973","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.014818000","0.015048000","","63","420","368"
"1132","91","55.149216","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.072259000","0.072495000","","63","420","368"
"1163","93","57.666304","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.026225000","0.026458000","","63","420","368"
"1225","97","60.287958","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.022470000","0.026775000","","63","420","368"
"1257","99","62.963847","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.016118000","0.016346000","","63","420","368"
"1297","101","65.718181","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.016673000","0.019059000","","63","420","368"
"1484","115","68.553450","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.018812000","0.019116000","","63","420","368"
"1526","117","71.413622","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.020644000","0.020877000","","63","420","368"
"1560","119","74.365910","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.024498000","0.027565000","","63","420","368"
"1591","121","77.363494","10.38.70.6","192.168.0.100","HTTP","434","GET / HTTP/1.1 ","","0.019469000","0.019877000","","63","420","368"
