"No.","Stream index","Time","Source","Destination","Protocol","Length","Info","Http Time","iRTT","Time since first frame in this TCP stream","The RTT to ACK the segment was","Time to live","Total Length IP Frame","Bytes in flight (http payload)","Bytes in flight"
"24","1","2.487366","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002024000","0.492415000","","61","237","185","185"
"33","3","2.780548","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001930000","0.543154000","","61","237","185","185"
"34","4","2.781225","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.004189000","0.543592000","","61","237","185","185"
"91","7","3.745175","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003746000","0.354015000","","61","237","185","185"
"97","9","3.877157","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003135000","0.268150000","","61","237","185","185"
"104","11","3.941863","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003570000","0.313023000","","61","237","185","185"
"106","7","3.949844","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.003746000","0.558684000","","61","237","185","185"
"154","15","4.842239","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001621000","0.248384000","","61","237","185","185"
"172","17","5.128031","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001506000","0.395158000","","61","241","189","189"
"185","19","5.362520","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001805000","0.382732000","","61","237","185","185"
"222","21","5.968155","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001522000","0.318130000","","61","237","185","185"
"246","23","6.262664","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.002586000","0.365290000","","61","241","189","189"
"258","27","6.542530","37.120.249.45","192.168.0.100","HTTP","243","GET / HTTP/1.1 ","","0.001939000","0.434803000","","61","229","177","177"
"295","29","7.046469","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001496000","0.411521000","","61","241","189","189"
"314","31","7.287320","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.002079000","0.391024000","","61","233","181","181"
"327","33","7.579545","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002248000","0.432017000","","61","237","185","185"
"364","36","8.178359","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001478000","0.356206000","","61","233","181","181"
"381","38","8.382076","37.120.249.45","192.168.0.100","HTTP","243","GET / HTTP/1.1 ","","0.004040000","0.383607000","","61","229","177","177"
"393","40","8.603451","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001616000","0.355131000","","61","233","181","181"
"423","42","9.173523","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001525000","0.316262000","","61","241","189","189"
"455","44","9.582181","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001900000","0.385072000","","61","233","181","181"
"461","46","9.632691","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001372000","0.298871000","","61","241","189","189"
"497","48","10.274922","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002150000","0.402781000","","61","237","185","185"
"530","50","10.612873","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001631000","0.275398000","","61","237","185","185"
"539","52","10.850156","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001336000","0.354840000","","61","241","189","189"
"561","54","11.177331","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001745000","0.273826000","","61","233","181","181"
"598","56","11.708992","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.006641000","0.395230000","","61","237","185","185"
"617","58","11.962324","37.120.249.45","192.168.0.100","HTTP","263","GET / HTTP/1.1 ","","0.001214000","0.394483000","","61","249","197","197"
"630","60","12.252489","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.017269000","0.420338000","","61","241","189","189"
"666","62","12.897223","37.120.249.45","192.168.0.100","HTTP","263","GET / HTTP/1.1 ","","0.001026000","0.395082000","","61","249","197","197"
"672","64","12.931963","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003250000","0.283967000","","61","237","185","185"
"701","66","13.636983","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002506000","0.551931000","","61","237","185","185"
"738","68","14.157100","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001630000","0.361741000","","61","237","185","185"
"745","70","14.235065","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.002159000","0.312500000","","61","241","189","189"
"775","73","14.904110","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.008768000","0.542059000","","61","241","189","189"
"808","75","15.407964","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.000998000","0.370620000","","61","241","189","189"
"814","77","15.485138","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001040000","0.322735000","","61","233","181","181"
"844","79","16.093000","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002011000","0.544416000","","61","237","185","185"
"877","81","16.641740","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003663000","0.404309000","","61","237","185","185"
"880","83","16.646641","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.004222000","0.254881000","","61","237","185","185"
"899","81","16.849541","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.003663000","0.612110000","","61","237","185","185"
"913","85","17.355729","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001898000","0.567204000","","61","237","185","185"
"945","87","17.819617","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001041000","0.322812000","","61","233","181","181"
"951","89","17.990872","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001074000","0.419700000","","61","237","185","185"
"976","91","18.378170","37.120.249.45","192.168.0.100","HTTP","259","GET / HTTP/1.1 ","","0.001716000","0.268888000","","61","245","193","193"
"1013","93","18.911856","37.120.249.45","192.168.0.100","HTTP","259","GET / HTTP/1.1 ","","0.001008000","0.395074000","","61","245","193","193"
"1032","95","19.156464","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002585000","0.394582000","","61","237","185","185"
"1042","97","19.327542","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001183000","0.315799000","","61","233","181","181"
"1073","99","19.892976","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001507000","0.318167000","","61","241","189","189"
"1112","102","20.293185","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001321000","0.266028000","","61","233","181","181"
"1118","104","20.463148","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002503000","0.286280000","","61","237","185","185"
"1144","106","20.866829","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001504000","0.282819000","","61","241","189","189"
"1181","108","21.416634","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001047000","0.413632000","","61","241","189","189"
"1199","110","21.649919","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002678000","0.396759000","","61","237","185","185"
"1210","110","21.858874","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.002678000","0.605714000","","61","237","185","185"
"1213","112","21.931687","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003597000","0.429953000","","61","237","185","185"
"1250","114","22.562479","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001553000","0.385713000","","61","237","185","185"
"1269","116","22.836553","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003476000","0.399364000","","61","237","185","185"
"1282","116","23.041427","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.003476000","0.604238000","","61","237","185","185"
"1284","118","23.121364","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001020000","0.431955000","","61","237","185","185"
"1320","120","23.664900","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001548000","0.280129000","","61","237","185","185"
"1325","122","23.691508","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003999000","0.269127000","","61","237","185","185"
"1343","122","23.901115","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.003999000","0.478734000","","61","237","185","185"
"1352","124","24.138674","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.003798000","0.342132000","","61","233","181","181"
"1390","126","24.689034","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001613000","0.261920000","","61","237","185","185"
"1408","128","24.974733","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.003244000","0.349893000","","61","233","181","181"
"1420","130","25.269588","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.002035000","0.402877000","","61","233","181","181"
"1432","130","25.479919","37.120.249.45","192.168.0.100","HTTP","247","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.002035000","0.613208000","","61","233","181","181"
"1458","132","25.834284","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001519000","0.268544000","","61","237","185","185"
"1475","132","26.038636","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.001519000","0.472896000","","61","237","185","185"
"1477","134","26.127426","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.003707000","0.314738000","","61","233","181","181"
"1490","136","26.396426","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.003026000","0.424579000","","61","241","189","189"
"1524","138","26.946475","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.003250000","0.260716000","","61","241","189","189"
"1551","140","27.341863","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.004147000","0.399965000","","61","237","185","185"
"1557","142","27.482209","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001123000","0.390633000","","61","241","189","189"
"1586","144","28.046246","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001723000","0.419466000","","61","233","181","181"
"1620","146","28.591491","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001785000","0.409840000","","61","237","185","185"
"1634","148","28.887055","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.008344000","0.552902000","","61","241","189","189"
"1651","150","29.178648","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.007668000","0.291715000","","61","237","185","185"
"1673","150","29.390472","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.007668000","0.503539000","","61","237","185","185"
"1689","152","29.697819","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.002870000","0.373090000","","61","241","189","189"
"1708","154","29.927416","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.002133000","0.380143000","","61","241","189","189"
"1722","156","30.218372","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001099000","0.425323000","","61","241","189","189"
"1780","158","30.586488","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003269000","0.285079000","","61","237","185","185"
"1883","160","31.075411","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001684000","0.378045000","","61","233","181","181"
"1892","163","31.242073","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001614000","0.302385000","","61","233","181","181"
"1920","174","31.590987","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002666000","0.339330000","","61","237","185","185"
"1984","177","32.383509","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001882000","0.297988000","","61","237","185","185"
"2001","179","32.671866","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.005454000","0.342364000","","61","237","185","185"
"2012","181","32.958893","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003259000","0.422632000","","61","237","185","185"
"2048","183","33.541088","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.003645000","0.332745000","","61","241","189","189"
"2064","185","33.727779","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002142000","0.261538000","","61","237","185","185"
"2078","187","34.011737","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001573000","0.335192000","","61","237","185","185"
"2119","189","34.596648","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.002957000","0.363499000","","61","241","189","189"
"2134","191","34.714407","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.004766000","0.257250000","","61","237","185","185"
"2143","193","35.003590","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001220000","0.302166000","","61","237","185","185"
"2184","195","35.716303","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002892000","0.279299000","","61","237","185","185"
"2200","197","35.901377","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003288000","0.324555000","","61","237","185","185"
"2210","199","36.041755","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002982000","0.280480000","","61","237","185","185"
"2236","201","36.595903","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.002085000","0.256693000","","61","241","189","189"
"2279","203","37.002984","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003020000","0.263448000","","61","237","185","185"
"2286","205","37.131870","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002497000","0.259729000","","61","237","185","185"
"2327","207","37.902956","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001525000","0.345580000","","61","237","185","185"
"2341","209","37.999153","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.002048000","0.254892000","","61","233","181","181"
"2357","211","38.333119","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001875000","0.385925000","","61","237","185","185"
"2403","214","39.082579","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.013153000","0.411040000","","61","237","185","185"
"2414","216","39.236087","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.008005000","0.398752000","","61","237","185","185"
"2425","218","39.520943","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002087000","0.439363000","","61","237","185","185"
"2439","218","39.726183","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.002087000","0.644603000","","61","237","185","185"
"2469","220","40.411898","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.003813000","0.575241000","","61","241","189","189"
"2480","222","40.544952","37.120.249.45","192.168.0.100","HTTP","259","GET / HTTP/1.1 ","","0.001423000","0.573226000","","61","245","193","193"
"2511","224","41.231832","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.004271000","0.684361000","","61","241","189","189"
"2543","226","41.842546","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.003110000","0.318014000","","61","241","189","189"
"2544","227","41.842717","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.003183000","0.318039000","","61","241","189","189"
"2575","230","42.381276","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001954000","0.443601000","","61","241","189","189"
"2610","232","42.926305","37.120.249.45","192.168.0.100","HTTP","259","GET / HTTP/1.1 ","","0.002634000","0.256382000","","61","245","193","193"
"2617","234","43.041975","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001896000","0.321011000","","61","241","189","189"
"2647","236","43.591088","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.002189000","0.548741000","","61","241","189","189"
"2680","238","44.087240","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.006389000","0.422057000","","61","237","185","185"
"2686","240","44.242719","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001956000","0.446613000","","61","241","189","189"
"2714","242","45.062108","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002108000","0.689190000","","61","237","185","185"
"2746","244","45.499335","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001451000","0.285917000","","61","237","185","185"
"2747","246","45.500360","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001798000","0.275550000","","61","237","185","185"
"2769","244","45.704761","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.001451000","0.491343000","","61","237","185","185"
"2775","248","45.901225","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.001518000","0.265183000","","61","233","181","181"
"2821","250","46.660995","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.005406000","0.283713000","","61","237","185","185"
"2832","252","46.751562","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001417000","0.329712000","","61","237","185","185"
"2844","250","46.870926","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.005406000","0.493644000","","61","237","185","185"
"2848","254","47.040440","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002037000","0.289908000","","61","237","185","185"
"2892","256","47.793149","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002319000","0.342543000","","61","237","185","185"
"2910","256","48.002838","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.002319000","0.552232000","","61","237","185","185"
"2912","258","48.003946","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.008424000","0.297692000","","61","237","185","185"
"2925","260","48.285482","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002821000","0.347939000","","61","237","185","185"
"2962","262","48.695225","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.004516000","0.268991000","","61","241","189","189"
"2972","264","48.935317","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001735000","0.259223000","","61","237","185","185"
"3002","266","49.527125","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001124000","0.542470000","","61","237","185","185"
"3033","268","50.008446","37.120.249.45","192.168.0.100","HTTP","267","GET / HTTP/1.1 ","","0.007006000","0.481594000","","61","253","201","201"
"3039","270","50.107422","37.120.249.45","192.168.0.100","HTTP","247","GET / HTTP/1.1 ","","0.004199000","0.356678000","","61","233","181","181"
"3072","272","50.721621","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.008740000","0.475389000","","61","237","185","185"
"3104","274","51.233562","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001010000","0.362612000","","61","237","185","185"
"3109","276","51.311886","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001363000","0.300019000","","61","237","185","185"
"3134","278","51.785829","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001416000","0.333606000","","61","241","189","189"
"3170","280","52.381082","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.011269000","0.269927000","","61","237","185","185"
"3188","282","52.580374","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.004831000","0.313993000","","61","241","189","189"
"3198","284","52.745582","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001363000","0.288809000","","61","241","189","189"
"3229","286","53.360502","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.003814000","0.376750000","","61","241","189","189"
"3257","286","53.564685","37.120.249.45","192.168.0.100","HTTP","255","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.003814000","0.580933000","","61","241","189","189"
"3263","288","53.800080","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.002907000","0.312965000","","61","241","189","189"
"3269","290","53.835158","37.120.249.45","192.168.0.100","HTTP","259","GET / HTTP/1.1 ","","0.001621000","0.284180000","","61","245","193","193"
"3296","292","54.390207","37.120.249.45","192.168.0.100","HTTP","307","GET / HTTP/1.1 ","","0.001716000","0.344684000","","61","293","241","241"
"3318","292","54.593272","37.120.249.45","192.168.0.100","HTTP","307","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.001716000","0.547749000","","61","293","241","241"
"3334","294","54.800240","37.120.249.45","192.168.0.100","HTTP","259","GET / HTTP/1.1 ","","0.001001000","0.274556000","","61","245","193","193"
"3353","296","55.096438","37.120.249.45","192.168.0.100","HTTP","259","GET / HTTP/1.1 ","","0.002520000","0.318593000","","61","245","193","193"
"3365","296","55.312328","37.120.249.45","192.168.0.100","HTTP","259","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.002520000","0.534483000","","61","245","193","193"
"3367","299","55.375118","37.120.249.45","192.168.0.100","HTTP","263","GET / HTTP/1.1 ","","0.001037000","0.347876000","","61","249","197","197"
"3411","301","55.911279","37.120.249.45","192.168.0.100","HTTP","263","GET / HTTP/1.1 ","","0.001866000","0.395528000","","61","249","197","197"
"3418","303","56.046134","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001052000","0.280554000","","61","241","189","189"
"3450","305","56.638266","37.120.249.45","192.168.0.100","HTTP","259","GET / HTTP/1.1 ","","0.018819000","0.437910000","","61","245","193","193"
"3482","307","57.175262","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.005143000","0.394131000","","61","237","185","185"
"3487","309","57.251216","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.003928000","0.320892000","","61","237","185","185"
"3516","311","57.813962","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001535000","0.428765000","","61","241","189","189"
"3549","313","58.345016","37.120.249.45","192.168.0.100","HTTP","259","GET / HTTP/1.1 ","","0.001554000","0.303799000","","61","245","193","193"
"3554","315","58.364910","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.002066000","0.264562000","","61","241","189","189"
"3584","317","59.082960","37.120.249.45","192.168.0.100","HTTP","259","GET / HTTP/1.1 ","","0.003009000","0.601568000","","61","245","193","193"
"3616","319","59.496939","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001030000","0.271527000","","61","237","185","185"
"3621","321","59.646007","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.002249000","0.290273000","","61","237","185","185"
"3641","321","59.849126","37.120.249.45","192.168.0.100","HTTP","251","[TCP Spurious Retransmission] GET / HTTP/1.1 ","","0.002249000","0.493392000","","61","237","185","185"
"3652","323","60.220409","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001023000","0.434731000","","61","237","185","185"
"3687","325","60.751019","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001842000","0.375706000","","61","237","185","185"
"3692","327","60.789970","37.120.249.45","192.168.0.100","HTTP","251","GET / HTTP/1.1 ","","0.001859000","0.284428000","","61","237","185","185"
"3722","329","61.427288","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001445000","0.607965000","","61","241","189","189"
"3754","331","61.945379","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.001860000","0.312324000","","61","241","189","189"
"3759","333","61.952459","37.120.249.45","192.168.0.100","HTTP","255","GET / HTTP/1.1 ","","0.000997000","0.257029000","","61","241","189","189"
